"id","clusterMetrics","clusterMetricsDemog"
1,1,1
3,1,1
4,1,1
5,1,1
6,2,2
7,1,1
8,2,1
9,1,1
10,1,1
11,1,1
13,1,1
14,1,1
15,1,1
16,2,1
17,2,1
24,1,1
26,1,1
29,1,1
31,1,1
36,2,2
41,1,1
42,1,1
46,1,1
49,3,3
53,1,1
55,1,1
56,1,1
58,1,1
59,1,1
62,1,1
64,1,1
67,2,2
68,1,1
70,1,1
71,2,1
73,1,1
74,1,1
76,1,1
78,1,1
79,1,1
80,1,1
81,1,1
84,1,1
85,2,1
86,1,1
89,1,1
90,1,1
93,1,1
95,2,1
97,1,1
98,1,1
103,1,1
110,1,1
111,1,1
112,1,1
114,2,1
117,1,1
120,1,1
121,1,1
123,1,1
124,1,1
125,1,1
126,1,1
127,1,4
128,1,1
129,2,2
131,1,1
132,2,4
134,1,1
135,2,1
137,1,1
140,1,1
142,2,4
143,1,1
145,2,1
146,1,1
147,1,1
148,1,1
150,1,1
157,1,1
160,1,1
163,1,1
164,1,1
165,1,1
169,1,1
173,1,1
176,1,1
177,1,1
179,1,1
184,2,2
185,1,1
188,1,1
189,1,1
190,1,1
191,1,1
192,1,1
196,1,1
198,1,1
199,1,1
200,1,1
202,1,1
207,1,1
210,1,1
211,1,1
212,1,1
213,1,1
214,1,1
215,1,1
216,1,1
218,1,1
219,1,1
220,1,1
221,1,1
222,1,1
224,1,1
225,1,1
226,1,1
228,1,1
230,1,1
231,1,1
233,1,1
234,1,1
235,1,1
240,1,1
244,1,1
247,1,4
249,1,1
251,1,1
252,2,2
256,1,1
257,1,1
258,1,1
260,1,1
262,2,4
263,1,1
265,1,1
267,1,1
269,1,1
270,1,1
271,1,1
273,1,1
274,1,1
276,1,1
277,1,1
279,1,1
280,1,1
282,1,1
284,1,1
285,1,1
287,2,2
289,1,1
290,1,1
291,1,1
292,1,1
293,1,1
295,1,1
298,1,1
299,1,1
300,1,1
302,1,1
304,1,1
305,1,1
306,1,1
307,1,1
308,1,1
309,1,1
311,1,1
315,1,1
316,1,1
317,1,1
320,2,2
321,1,1
322,1,1
323,1,1
324,1,1
325,1,1
329,1,1
331,1,1
333,2,2
334,1,1
336,1,1
337,1,1
338,1,1
339,1,1
340,1,1
341,1,1
342,1,1
345,1,1
346,1,1
347,1,1
348,2,4
350,1,1
351,1,1
353,1,1
355,1,1
356,1,1
357,1,1
360,1,1
361,1,1
365,1,1
366,1,1
367,1,1
368,1,1
369,1,1
372,1,1
373,1,1
376,1,1
380,2,1
381,1,1
382,1,1
383,1,1
384,1,1
390,1,1
391,1,1
392,1,1
394,1,1
397,1,1
399,1,1
402,1,1
404,1,1
409,1,1
414,1,1
418,2,4
420,1,1
424,1,1
428,1,1
431,1,1
433,1,1
436,1,1
437,1,1
439,1,1
441,1,1
444,1,1
446,1,1
448,1,1
449,1,1
450,1,4
451,1,1
452,1,1
453,1,1
454,2,4
457,1,1
461,2,2
463,1,1
464,1,1
466,2,2
467,1,1
468,2,1
471,1,1
472,1,1
478,1,1
480,3,3
484,2,1
485,1,1
487,1,1
488,2,1
489,2,2
492,1,1
493,1,1
494,1,1
497,1,1
498,1,1
499,1,1
502,1,1
503,2,2
504,1,1
509,1,1
510,1,1
511,1,1
512,1,1
513,1,1
516,1,1
517,1,1
518,1,1
520,1,1
523,1,1
526,1,1
530,1,1
531,1,1
532,1,1
534,1,1
536,1,1
538,1,1
539,2,4
541,1,1
546,2,4
548,2,4
549,1,1
550,1,1
555,1,1
558,1,1
560,1,1
562,2,4
574,2,4
576,1,1
579,1,1
580,1,1
585,1,1
587,1,1
590,1,1
601,2,4
603,1,1
604,1,1
607,1,1
609,1,1
610,1,1
613,1,4
614,1,1
618,2,2
619,1,1
621,1,1
622,1,1
623,1,1
625,1,1
626,1,1
627,1,1
629,1,1
630,1,1
631,1,1
634,1,1
637,1,1
638,1,1
648,1,1
649,1,1
651,1,1
652,1,1
653,1,4
655,2,1
658,1,1
659,3,3
661,2,4
664,1,1
666,1,1
667,1,1
668,1,1
670,1,1
671,1,1
672,2,4
675,2,4
676,2,4
677,2,4
679,1,1
680,1,1
681,1,1
475,1,1
